asap,as soon as possible
btw,by the way
fyi,for your information
idk,I don't know
imo,in my opinion
lmk,let me know
np,no problem
omg,oh my god
ppl,people
tbh,to be honest
ttyl,talk to you later
wfh,work from home
wrt,with respect to
yolo,you only live once
hw,homework
ass,assignment
exam,examination
omw,on my way
proj,project
lorem,lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
